trait;PT;AU;BA;CA;GP;RI;OI;BE;Z2;TI;X1;Y1;Z1;FT;PN;AE;Z3;SO;S1;SE;BS;VL;IS;SI;MA;BP;EP;AR;DI;D2;SU;PD;PY;AB;X4;Y4;Z4;AK;CT;CY;SP;CL;TC;Z8;ZB;ZS;Z9;SN;BN;UT;PM
Narea;J;BACH, CE;;;;;;;;PLANT SUCCESSIONAL STAGE AND INSECT HERBIVORY - FLEA BEETLES ON SAND-DUNE WILLOW;;;;;;;;ECOLOGY;;;;71;2;;;598;609;;10.2307/1940313;;;APR 1990;1990;;;;;;;;;;20;0;18;0;20;d_c-58;;WOS:A1990CV62800019;
Nmass;J;"Tripathi, S. N.; Raghubanshi, A. S.";;;;;;;;Seedling growth of five tropical dry forest tree species in relation to light and nitrogen gradients;;;;;;;;JOURNAL OF PLANT ECOLOGY;;;;7;3;;;250;263;;10.1093/jpe/rtt026;;;juin-14;2014;"AimsIncreasing anthropogenic nitrogen (N) deposition has been claimed to induce changes in species composition and community dynamics. A greenhouse experiment was conducted to examine the effect of increased N availability on growth and functional attributes of seedlings of five tree species with different life history characteristics under varying irradiances. The following questions have been addressed: (i) how do the pioneer and non-pioneer species respond in absolute growth and relative growth rate (RGR) to the interaction of light and nitrogen? (ii) how does the interaction between irradiance and nitrogen availability modulate growth attributes (i.e. functional attributes)? (iii) is there any variation in growth responses between leguminous and non-leguminous species along the light and nitrogen gradients?MethodsSeedlings of five tree species (Acacia catechu, Bridelia retusa, Dalbergia sissoo, Lagerstroemia parviflora and Terminalia arjuna) were subjected to twelve combinations of irradiance and N levels. Various growth traits, including height (HT), basal area (BA), whole plant dry biomass (M-D), leaf mass per unit area (LMA), leaf area ratio (LAR), net assimilation rate (NAR), RGR, biomass fractions, root-to-shoot ratio (R: S) and leaf nitrogen content, were studied to analyse intra-and inter-specific responses to interacting light and N gradients.Important FindingsSignificant interactions for irradiance and N availability for majority of growth attributes indicates that growth and biomass allocation of seedlings were more responsive to N availability under high irradiance. However, species responded differentially to N addition and they did not follow successional status. Slow growers (B. retusa, a shade-tolerant species and L. parviflora, a light demander) exhibited greater response to N enrichment than the fast growers (A. catechu, D. sissoo and T. arjuna). However, N-mediated increment in growth traits was greater in non-legumes (B. retusa, L. parviflora and T. arjuna) compared with that of legumes (A. catechu and D. sissoo). Allocation of biomass to root was strongly suppressed at the highest N supply across species; however, at high irradiance and high N availability, a greater suppression in R: S ratio was observed for B. retusa. NAR was a stronger determinant of RGR relative to LAR, suggesting its prominent role in increased RGR along increasing irradiances. Overall, a higher growth response of slow-growing species to elevated N levels, particularly the non-pioneers (B. retusa and L. parviflora) suggests that future N deposition may lead to perturbations in competition hierarchies and species composition, ultimately affecting community dynamics in nutrient-poor tropical dry forests.";;;;;;;;;0;0;0;0;0;1752-9921;;WOS:000337063500005;
Nmass;J;"Wang, Dan; LeBauer, David; Kling, Gary; Voigt, Thomas; Dietze, Michael C.";;;;Dietze, Michael/A-5834-2009;Dietze, Michael/0000-0002-2324-2518;;;Ecophysiological screening of tree species for biomass production: trade-off between production and water use;;;;;;;;ECOSPHERE;;;;4;11;;;;;UNSP 138;10.1890/ES13-00156.1;;;nov-13;2013;Trees are an important biomass source for cellulosic ethanol production. The ability to identify tree species that are efficient in balancing water loss and carbon uptake based on physiological traits associated with growth and water use is useful for screening candidate species and genotypes. We used a common-garden approach to evaluate the relationships between traits, productivity, and WUE among 21 tree species across two growing seasons. Species differed significantly in leaf-level gas exchange, Delta C-13, phenology and growth. Robinia pseudoacacia, Populus deltoides, Catalpa speciosa, Rhus copallinum, and Acer saccharinum had higher total height (Ht) and basal diameter (DB) growth than the other species. Delta C-13 scaled positively with growth rate and negatively with intrinsic WUE, suggesting that Delta C-13 could be an effective proxy for productivity and WUE for the species evaluated. Principle component analysis indicated that among the faster-growing species (high Ht and A(net)), Robinia pseudoacacia distinguished itself by a higher Delta C-13 and lower PNUE, while Populus deltoides, Rhus copallinum, Catalpa speciosa and Platanus occidentalis had a higher PNUE and lower Delta C-13, making it possible to select trees that could optimize the trade-off between carbon gain and water use and provide guidelines for policy making. Systematic measurements of gas exchange across the growing season are essential for validation of growth models and to elucidate the physiological basis for observed differences in productivity and WUE. Parameters such as A(net), SLA, N-mass, and Delta C-13 give very useful information for future breeding programs having goals of improving woody species productivity and WUE.;;;;;;;;;1;0;1;0;1;2150-8925;;WOS:000327380900006;
Nmass;J;"Sellin, Arne; Tullus, Arvo; Niglas, Aigar; Ounapuu, Eele; Karusion, Annika; Lohmus, Krista";;;;;;;;Humidity-driven changes in growth rate, photosynthetic capacity, hydraulic properties and other functional traits in silver birch (Betula pendula);;;;;;;;ECOLOGICAL RESEARCH;;;;28;3;;;523;535;;10.1007/s11284-013-1041-1;;;MAY 2013;2013;"A study was performed on saplings of silver birch (Betula pendula Roth) growing at the free air humidity manipulation site, which was established to investigate the effect of increased air humidity on tree performance and canopy functioning. The aim of the experiment was to simulate the impact of the increasing atmospheric humidity on forest ecosystems predicted for northern Europe. Artificially elevated relative humidity (RH), which causes transpirational flux to decrease, diminished nutrient supply to the foliage; leaf nitrogen content, phosphorus content and P:N ratio decreased. The changes in leaf nutritional status brought about a considerable decline in both photosynthetic capacity (A (max), V (cmax), J (max)) and tree growth rate. The manipulation induced diverse changes in tree hydraulic architecture and other functional traits. Different segments of the soil-to-leaf water transport pathway responded differently: leaf hydraulic conductance (K (L)) decreased, while hydraulic conductance of root systems (K (R)) and leaf-specific conductivity of stem-wood increased in response to elevated RH. Humidification caused the Huber values of stems to increase, thus reflecting changes in allocation patterns; relatively more resources were allocated to vascular tissue and less to foliage. The elevated RH induced substantial changes in specific leaf area (increased), branch- (decreased) and stem-wood density (decreased). The observed responses suggest that the expected climate-change-induced increase in the growth rate of trees at northern latitudes (boreal areas) due to the earlier start of the growing season in spring or higher carbon assimilation rate could be smaller or null if temperature rise is accompanied by a rise in atmospheric absolute humidity.";;;;;;;;;7;0;6;0;7;0912-3814;;WOS:000318569100016;
Nmass;J;"Kong, Gaoqiang; Luo, Tianxiang; Liu, Xinsheng; Zhang, Lin; Liang, Eryuan";;;;Liang, Eryuan/A-1435-2010;;;;Annual ring widths are good predictors of changes in net primary productivity of alpine Rhododendron shrubs in the Sergyemla Mountains, southeast Tibet;;;;;;;;PLANT ECOLOGY;;;;213;11;;;1843;1855;;10.1007/s11258-012-0140-3;;;nov-12;2012;It is unclear whether annual ring widths (ARW) are good predictors of changes in net primary productivity (NPP) of trees or shrubs in cold environments. We test if the simulated NPP with inputs of observed leaf nitrogen concentration (N (mass)) and carbon isotope ratio (delta C-13) explains altitudinal variations of ARW, relative growth rate (RGR), and maximum photosynthetic rate (P (max)) within a widespread woody species at moist timberline ecotones. We measured plant-level ARW and RGR, and related leaf traits (P (max), N (mass), delta C-13 etc.) for an alpine Rhododendron shrub (R. aganniphum var. schizopeplum) across ten altitudes (4,190-4,500 m) in the Sergyemla Mountains, southeast Tibet. Based on climate data available from Nyingchi station at 3,000 m, non-age-related ARW chronologies (1960-2008) for each of ten altitudes were positively correlated with June mean temperature, but related little with precipitation and other monthly mean temperatures. With increasing altitude, N (mass) and P (max) decreased and delta C-13 increased, resulting in decreases of observed RGR and simulated NPP. Current-year and recent 50-year-averaged ARWs were well correlated with observed RGR and P (max) and simulated NPP. June mean temperature explained > 62 % of the altitudinal variations in observed RGR and ARW as well as simulated NPP. At moist high altitudes, ARWs can be used as predictors of changes in NPP of alpine shrubs because the low temperature in the early growing season is the primary factor limiting both ARW and NPP. This study suggests a methodology detecting the sensitivity of alpine woody species to varying climatic conditions.;;;;;;;;;2;1;2;0;3;1385-0237;;WOS:000310833400014;
Nmass;J;"Xu, Chonggang; Fisher, Rosie; Wullschleger, Stan D.; Wilson, Cathy J.; Cai, Michael; McDowell, Nate G.";;;;"Fisher, Rosie/E-7746-2013; Wullschleger, Stan/B-8297-2012";Wullschleger, Stan/0000-0002-9869-0446;;;Toward a Mechanistic Modeling of Nitrogen Limitation on Vegetation Dynamics;;;;;;;;PLOS ONE;;;;7;5;;;;;e37914;10.1371/journal.pone.0037914;;;MAY 23 2012;2012;"Nitrogen is a dominant regulator of vegetation dynamics, net primary production, and terrestrial carbon cycles; however, most ecosystem models use a rather simplistic relationship between leaf nitrogen content and photosynthetic capacity. Such an approach does not consider how patterns of nitrogen allocation may change with differences in light intensity, growing-season temperature and CO2 concentration. To account for this known variability in nitrogen-photosynthesis relationships, we develop a mechanistic nitrogen allocation model based on a trade-off of nitrogen allocated between growth and storage, and an optimization of nitrogen allocated among light capture, electron transport, carboxylation, and respiration. The developed model is able to predict the acclimation of photosynthetic capacity to changes in CO2 concentration, temperature, and radiation when evaluated against published data of V-c,V-max (maximum carboxylation rate) and J(max) (maximum electron transport rate). A sensitivity analysis of the model for herbaceous plants, deciduous and evergreen trees implies that elevated CO2 concentrations lead to lower allocation of nitrogen to carboxylation but higher allocation to storage. Higher growing-season temperatures cause lower allocation of nitrogen to carboxylation, due to higher nitrogen requirements for light capture pigments and for storage. Lower levels of radiation have a much stronger effect on allocation of nitrogen to carboxylation for herbaceous plants than for trees, resulting from higher nitrogen requirements for light capture for herbaceous plants. As far as we know, this is the first model of complete nitrogen allocation that simultaneously considers nitrogen allocation to light capture, electron transport, carboxylation, respiration and storage, and the responses of each to altered environmental conditions. We expect this model could potentially improve our confidence in simulations of carbon-nitrogen interactions and the vegetation feedbacks to climate in Earth system models.";;;;;;;;;4;0;4;0;4;1932-6203;;WOS:000305335800084;22649564
Nmass;J;"Brym, Zachary T.; Lake, Jeffrey K.; Allen, David; Ostling, Annette";;;;;;;;Plant functional traits suggest novel ecological strategy for an invasive shrub in an understorey woody plant community;;;;;;;;JOURNAL OF APPLIED ECOLOGY;;;;48;5;;;1098;1106;;10.1111/j.1365-2664.2011.02049.x;;;oct-11;2011;1. Understanding ecological strategies of invasive species relative to the entire native community is important in understanding and managing both the mechanisms and the potential impacts of invasion, but few studies have taken this approach.2. We utilize advances in plant ecology to compare functional traits of an invasive shrub species, autumn-olive Elaeagnus umbellata, to those of the understorey native woody plant community in a southeast Michigan forest. We estimate species trait distributions for six leaf functional traits (specific leaf area, leaf laminar area, leaf dry matter content, leaf nitrogen content, leaf carbon: nitrogen ratio and delta N-15) using a kernel estimator. We then use pairwise trait distance and overlaps to describe the ecological strategy of the invasive shrub relative to that of the native understorey woody plant community.3. The overlap of the invasive shrub's trait distribution with those of the native species was found to be smaller than the overlap of a native shrub's distribution with other native species, consistent with the empty niche hypothesis of invasion. However, the invasive species' mean leaf functional trait values typically fall outside of the range of most native species' mean trait values, suggesting the invasive shrub extends trait space for understorey individuals of the native woody plant community.4. The invasive shrub's leaf trait values are characteristic of a sun-demanding species, contradicting its presence in the shaded forest understorey community and its persistence in an empty niche. We propose that this novel use of leaf functional traits by the invasive shrub could indicate that the invasion is facilitated by additional mechanisms such as release from natural enemies, association with nitrogen-fixing bacteria, use of an empty temporal niche (namely the light available to the understorey early in the growing season), bird dispersal or some synthesis of these factors.5. Synthesis and applications. This study develops plant functional trait theory by studying an invasive species within the context of the entire native woody plant community. The approach can improve our understanding of the potential mechanisms of an invasion event and suggest ecological consequences and related management strategies for the maintenance of native forest communities. Specifically, this study, along with known data on the invasive species, suggests aggressive management in sunny gap and edge habitat provides the best strategy for long-term control.;;;;;;;;;6;0;5;0;6;0021-8901;;WOS:000295095100005;
Nmass;J;"Sugiura, Daisuke; Tateno, Masaki";;;;;;;;Optimal Leaf-to-Root Ratio and Leaf Nitrogen Content Determined by Light and Nitrogen Availabilities;;;;;;;;PLOS ONE;;;;6;7;;;;;e22236;10.1371/journal.pone.0022236;;;JUL 12 2011;2011;Plants exhibit higher leaf-to-root ratios (L/R) and lower leaf nitrogen content (N(area)) in low-light than in high-light environments, but an ecological significance of this trait has not been explained from a whole-plant perspective. This study aimed to theoretically and experimentally demonstrate whether these observed L/R and N(area) are explained as optimal biomass allocation that maximize whole-plant relative growth rate (RGR). We developed a model which predicts optimal L/R and N(area) in response to nitrogen and light availability. In the model, net assimilation rate (NAR) was determined by light-photosynthesis curve, light availability measured during experiments, and leaf temperature affecting the photosynthesis and leaf dark respiration rate in high and low-light environments. Two pioneer trees, Morus bombycis and Acer buergerianum, were grown in various light and nitrogen availabilities in an experimental garden and used for parameterizing and testing the model predictions. They were grouped into four treatment groups (relative photosynthetic photon flux density, RPPFD 100% or 10% x nitrogen-rich or nitrogen-poor conditions) and grown in an experimental garden for 60 to 100 days. The model predicted that optimal L/R is higher and N(area) is lower in low-light than high-light environments when compared in the same soil nitrogen availability. Observed L/R and N(area) of the two pioneer trees were close to the predicted optimums. From the model predictions and pot experiments, we conclude that the pioneer trees, M. bombycis and A. buergerianum, regulated L/R and N(area) to maximize RGR in response to nitrogen and light availability.;;;;;;;;;9;1;7;0;9;1932-6203;;WOS:000292699000033;21765957
Nmass;J;"Tanaka-Oda, Ayumi; Kenzo, Tanaka; Koretsune, Satomi; Sasaki, Haruto; Fukuda, Kenji";;;;Ayumi, Tanaka-Oda/D-4780-2012;;;;Ontogenetic changes in water-use efficiency (delta C-13) and leaf traits differ among tree species growing in a semiarid region of the Loess Plateau, China;;;;;;;;FOREST ECOLOGY AND MANAGEMENT;;;;259;5;;;953;957;;10.1016/j.foreco.2009.11.037;;;FEB 20 2010;2010;On the Loess Plateau, China, several planted tree species such as Populus hopeinsis and Robinia pseudoacacia suffer occasional diebacks in the top shoots, reducing growth rates after maturation. However, this does not usually occur in other species, e.g., Ulmus pumila and Zizyphus jujuba. We compared stable carbon isotope ratios (delta C-13) as indicators of leaf water-use efficiency (WUE), leaf mass per unit area (LMA), and leaf area- and mass-based nitrogen content (N-area and N-mass) by tree height (1, 5, and 10 m) in P. hopeinsis, R. pseudoacacia, U. pumila, and Z jujuba. In P. hopeinsis and R. pseudoacacia, leaf delta C-13 and N-area were significantly lower in 10-m trees than in 1-m saplings, indicating that leaf WUE and photosynthetic rates of both species decreased with tree height. In contrast, delta C-13 in Z. jujuba varied little with tree height. The delta C-13 of 10-m-tall U. pumila trees was significantly higher than that of 1-m plants, demonstrating an increase in WUE with tree height. Decreasing WUE, leaf N-area and N-mass with height increases in P. hopeinsis and R. pseudoacacia may be related to water and nutrient limitations for these species in semiarid regions. in contrast, stable or increasing delta C-13 with tree height in U. pumila and Z jujuba may account (to some extent) for successful production of these species under identical environmental conditions. Diameter growth rate also decreased with maturity in P. hopeinsis and R. pseudoacacia, but increased or was stable for U. pumila and Z. jujuba. The differences in leaf WUE and LMA among species with tree maturity may be related to species' growth patterns and susceptibility to drought stress, and are likely to be important new criteria for plantation species selection on the Loess Plateau. (C) 2009 Elsevier B.V. All rights reserved.;;;;;;;;;3;7;5;0;11;0378-1127;;WOS:000275223300011;
Nmass;J;"Hikosaka, Kouki; Osone, Yoko";;;;Hikosaka, Kouki/A-5415-2013;Hikosaka, Kouki/0000-0003-1744-3775;;;A paradox of leaf-trait convergence: why is leaf nitrogen concentration higher in species with higher photosynthetic capacity?;;;;;;;;JOURNAL OF PLANT RESEARCH;;;;122;3;;;245;251;;10.1007/s10265-009-0222-z;;;MAY 2009;2009;"It is well known that leaf photosynthesis per unit dry mass (A(mass)) is positively correlated with nitrogen concentration (N(mass)) across naturally growing plants. In this article we show that this relationship is paradoxical because, if other traits are identical among species, plants with a higher A(mass) should have a lower N(mass), because of dilution by the assimilated carbon. To find a factor to overcome the dilution effect, we analyze the N(mass)-A(mass) relationship using simple mathematical models and literature data. We propose two equations derived from plant-growth models. Model prediction is compared with the data set of leaf trait spectrum obtained on a global scale. The model predicts that plants with a higher A(mass) should have a higher specific nitrogen absorption rate in roots (SAR), less biomass allocation to leaves, and/or greater nitrogen allocation to leaves. From the literature survey, SAR is suggested as the most likely factor. If SAR is the sole factor maintaining the positive relationship between N(mass) and A(mass), the variation in SAR is predicted to be much greater than that in A(mass); given that A(mass) varies 130-fold, SAR may vary more than 2000-fold. We predict that there is coordination between leaf and root activities among species on a global scale.";;;;;;;;;7;0;6;0;7;0918-9440;;WOS:000265217100001;19252965
Nmass;J;"Suwa, Rempei; Analuddin, Kangkuso; Khan, Md. Nabiul Islam; Hagihara, Akio";;;;;;;;Structure and productivity along a tree height gradient in a Kandelia obovata mangrove forest in the Manko Wetland, Okinawa Island, Japan;;;;;;;;Wetlands Ecology and Management;;;;16;4;;;331;343;;10.1007/s11273-007-9071-5;;;AUG 2008;2008;Tree height (H) of Kandelia obovata trees decreased sharply from 5 m at the forest interior behind the terrestrial forest to 1.5 m at the forest edge near the river bank according to an increase in the yearly waterlogged period along a belt transect. The decreasing tree stature was attributed to a decrease in the asymptote of H in the D-0.1 (stem diameter at H/10)-H relationship toward the edge. The K. obovata trees were well classified into interior and edge types using a discriminant function based on the habitat-specific D-0.1-H relationships. Allometric equations, as a function of (D0.1H)-H-2, differed significantly between the interior and edge types in the estimation of the phytomasses of stems and leaves, and the leaf area per tree. On the other hand, common allometric equations were successfully established in the estimation of respective phytomasses of aboveground parts and branches. Biomass and leaf area index decreased toward the forest edge. The biomass allocation to stems decreased toward the edge, whereas those to branches and leaves increased. A dramatic change in stem diameter increment resulted in differences in the D-0.1-H relationship along the tree height gradient. Relative growth rate of biomass and light-saturated net photosynthesis, which paralleled net assimilation rate from the interior to the edge, showed their maximum peaks in the middle of the belt transect. This indicates that there exists an optimal environmental condition for growth of K. obovata trees. Leaf nitrogen content tended to increase to the edge with increasing waterlogged period.;;;;;;;;;5;1;4;0;6;0923-4861;;BCI:BCI200800539085;
Nmass;J;"Takahashi, Koichi; Mikami, Yumi";;;;;;;;A weak relationship between crown architectural and leaf traits in saplings of eight tropical rain-forest species in Indonesia;;;;;4;;;JOURNAL OF TROPICAL ECOLOGY;;;;24;;;;425;432;;10.1017/S0266467408005178;;;juil-08;2008;There are two trade-offs at the levels of leaves and crowns, i.e. assimilation capacity per leaf mass is greater for shorter-lived leaves, and unbranched species grow faster in height by allocating carbon more to trunk than to leaves and branches compared with highly branched species. The hypotheses were tested that the degree of branching (L(TB)) correlates with leaf traits and that height growth rate is negatively correlated with the degree of branching and leaf life span (LLS) by examining saplings of live canopy and subcanopy species, two shrub species and one invasive subshrub species (Clidemia hirta) in a tropical rain forest, West Java, Indonesia. Of the eight species, the most and least branched species were Castanopsis acuminatissima and Macaranga semiglobosa, respectively. Leaf traits examined were leaf size, LLS, leaf mass per area (LMA), leaf nitrogen concentration per mass (N(mass)) and per area. LLS tended to be positively correlated with LMA, and negatively correlated with N(mass). Leaf size was negatively correlated with LTB, but the other leaf traits were not correlated with L(TB). The height growth of the eight species was low, irrespective of L(TB) and LLS, for understorey individuals. The height growth of gap individuals was negatively correlated with LLS for the eight species, and also negatively with LTB for the seven species other than one subshrub species. Thus, the degree of branching was correlated with leaf size only among the five leaf traits, and both leaf life span and the degree of branching affected the height growth of gap individuals, except for the subshrub species.;;;;;;;;;2;0;3;0;3;0266-4674;;WOS:000258043300008;
Nmass;J;"Reich, Peter B.; Wright, Ian J.; Lusk, Christopher H.";;;;Wright, Ian/G-4979-2012;Wright, Ian/0000-0001-8338-9143;;;Predicting leaf physiology from simple plant and climate attributes: A global GLOPNET analysis;;;;;;;;ECOLOGICAL APPLICATIONS;;;;17;7;;;1982;1988;;10.1890/06-1803.1;;;oct-07;2007;"Knowledge of leaf chemistry, physiology, and life span is essential for global vegetation modeling, but such data are scarce or lacking for some regions, especially in developing countries. Here we use data from 2021 species at 175 sites around the world from the GLOPNET compilation to show that key physiological traits that are difficult to measure (such as photosynthetic capacity) can be predicted from simple qualitative plant characteristics, climate information, easily measured (""soft"") leaf traits, or all of these in combination. The qualitative plant functional type (PFT) attributes examined are phylogeny (angiosperm or gymnosperm), growth form (grass, herb, shrub, or tree), and leaf phenology (deciduous vs. evergreen). These three PFT attributes explain between one-third and two-thirds of the variation in each of five quantitative leaf ecophysiological traits: specific leaf area (SLA), leaf life span, mass-based net photosynthetic capacity (A(mass)) nitrogen content (N-mass) and phosphorus content (P-mass). Alternatively, the combination of four simple, widely available climate metrics (mean annual temperature, mean annual precipitation, mean vapor pressure deficit, and solar irradiance) explain only 5-20% of the variation in those same five leaf traits. Adding the climate metrics to the qualitative PFTs as independent factors in the model increases explanatory power by 3-11 % for the five traits. If a single easily measured leaf trait (SLA) is also included in the model along with qualitative plant traits and climate metrics, an additional 5-25% of the variation in the other four other leaf traits is explained, with the models accounting for 62%, 65%, 66%, and 73% of global variation in N-mass, P-mass, A(mass), and leaf life span, respectively. Given the wide availability of the summary climate data and qualitative PFT data used in these analyses, they could be used to explain roughly half of global variation in the less accessible leaf traits (A(mass), leaf life span, N-mass P-mass); this can be augmented to two-thirds of all variation if climatic and PFT data are used in combination with the readily measured trait SLA. This shows encouraging possibilities of progress in developing general predictive equations for macro-ecology, global scaling, and global modeling.";;;;;;;;;65;4;61;0;72;1051-0761;;WOS:000250142500011;17974336
Nmass;J;"Ronnberg-Wastljung, AC; Glynn, C; Weih, M";;;;Weih, Martin/H-5093-2011;;;;QTL analyses of drought tolerance and growth for a Salix dasyclados x Salix viminalis hybrid in contrasting water regimes;;;;;;;;THEORETICAL AND APPLIED GENETICS;;;;110;3;;;537;549;;10.1007/s00122-004-1866-7;;;FEB 2005;2005;Quantitative trait loci (QTL) for growth traits and water-use efficiency have been identified in two water regimes (normal and drought-treated) and for a treatment index. A tetraploid hybrid F-2 population originating from a cross between a Salix dasyclados clone (SW901290) and a Salix viminalis clone ('Jorunn') was used in the study. The growth response of each individual including both above and below ground dry-matter production (i.e. shoot length, shoot diameter, aboveground and root dry weight, internode length, root dry weight/total dry weight, relative growth rate and leaf nitrogen content) was analysed in a replicated block experiment with two water treatments. A composite interval mapping approach was used to estimate number of QTL, the magnitude of the QTL and their position on genetic linkage maps. QTL specific for each treatment and for the treatment index were found, but QTL common across the treatments and the treatment index were also detected. Each QTL explained from 8% to 29% of the phenotypic variation, depending on trait and treatment. Clusters of QTL for different traits were mapped close to each other at several linkage groups, indicating either a common genetic base or tightly linked QTL. Common QTL identified between treatments and treatment index in the complex trait dry weight can be useful tools in the breeding and selection for drought stress tolerance in Salix.Quantitative trait loci (QTL) for growth traits and water-use efficiency have been identified in two water regimes (normal and drought-treated) and for a treatment index. A tetraploid hybrid F-2 population originating from a cross between a Salix dasyclados clone (SW901290) and a Salix viminalis clone ('Jorunn') was used in the study. The growth response of each individual including both above and below ground dry-matter production (i.e. shoot length, shoot diameter, aboveground and root dry weight, internode length, root dry weight/total dry weight, relative growth rate and leaf nitrogen content) was analysed in a replicated block experiment with two water treatments. A composite interval mapping approach was used to estimate number of QTL, the magnitude of the QTL and their position on genetic linkage maps. QTL specific for each treatment and for the treatment index were found, but QTL common across the treatments and the treatment index were also detected. Each QTL explained from 8% to 29% of the phenotypic variation, depending on trait and treatment. Clusters of QTL for different traits were mapped close to each other at several linkage groups, indicating either a common genetic base or tightly linked QTL. Common QTL identified between treatments and treatment index in the complex trait dry weight can be useful tools in the breeding and selection for drought stress tolerance in Salix.;;;;;;;;;33;4;26;0;38;0040-5752;;WOS:000227049900014;15619077
Nmass;J;Montgomery, R;;;;Montgomery, Rebecca/J-5774-2013;Montgomery, Rebecca/0000-0002-4131-1847;;;Relative importance of photosynthetic physiology and biomass allocation for tree seedling growth across a broad light gradient;;;;;;;;TREE PHYSIOLOGY;;;;24;2;;;155;167;;;;;FEB 2004;2004;"Studies of tree seedling physiology and growth under field conditions provide information on the mechanisms underlying inter- and intraspecific differences in growth and survival at a critical period during forest regeneration. I compared photosynthetic physiology, growth and biomass allocation in seedlings of three shade-tolerant tree species, Virola koschynii Warb., Dipteryx panamensis (Pittier) Record & Mell and Brosimum alicastrum Swartz., growing across a light gradient created by a forest-pasture edge (0.5 to 67% diffuse transmittance (%T)). Most growth and physiological traits showed nonlinear responses to light availability, with the greatest changes occurring between 0.5 and 20 %T. Specific leaf area (SLA) and nitrogen per unit leaf mass (N(mass)) decreased, maximum assimilation per unit leaf area (A(area)) and area-based leaf N concentration (N(area)) increased, and maximum assimilation per unit leaf mass (A(mass)) did not change with increasing irradiance. Plastic responses in SLA were important determinants of leaf N and A a across the gradient. Species differed in magnitude and plasticity of growth; B. alicastrum had the lowest relative growth rates (RGR) and low plasticity. Its final biomass varied only 10-fold across the light gradient. In contrast, the final biomass of D. panamensis and V koschynii varied by 100- and 50-fold, respectively, and both had higher RGR than B. alicastrum. As light availability increased, all species decreased biomass allocation to leaf tissue (mass and area) and showed a trade-off between allocation to leaf area at a given plant mass (LAR) and net gain in mass per unit leaf area (net assimilation rate, NAR). This trade-off largely reflected declines in SLA with increasing light. Finally, A(area) was correlated with NAR and both were major determinants of intraspecific variation in RGR. These data indicate the importance of plasticity in photosynthetic physiology and allocation for variation in tree seedling growth among habitats that vary in light availability.";;;;;;;;;34;0;34;1;35;0829-318X;;WOS:000188786300003;14676032
Nmass;J;"Lusk, CH; Wright, I; Reich, PB";;;;;;;;Photosynthetic differences contribute to competitive advantage of evergreen angiosperm trees over evergreen conifers in productive habitats;;;;;;;;NEW PHYTOLOGIST;;;;160;2;;;329;336;;10.1046/j.1469-8137.2003.00879.x;;;nov-03;2003;Here we explore the possible role of leaf-level gas exchange traits in determining growth rate differences and competitive interactions between evergreen angiosperms and conifers.We compared relationships among photosynthetic capacity (A(max)), maximum ad stomatal conductance (G(s)), leaf life span, nitrogen concentration (N) and specific leaf area (SLA), in sun leaves of 23 evergreen angiosperm and 20 conifer populations.Despite similar average leaf N(mass), conifer leaves lived longer on average (36 months) than angiosperms (25 months). At a standardized leaf N, A(mass) was higher in angiosperms (56 nmol g(-1) s(-1)) than in conifers (36 nmol g(-1) s(-1)). Stepwize regression suggested that most of this difference in photosynthetic nitrogen use efficiency could be explained by G(s) and SLA. Mean G(s) (on an area basis) of angiosperms was higher than that of conifers (152 vs 117 mmol m(2) s(-1)), but A(area)-G(s) relationships were similar for the two groups. At a given leaf N, conifers had lower SLA (projected area basis) than angiosperms.Photosynthetic differences probably contribute to the competitive advantage of angiosperm trees over conifers in productive habitats, and may be linked to the greater hydraulic capacity of vessels, enabling angiosperms to develop higher stomatal conductance and therefore sustain higher transpiration rates.;;;;;;;;;41;1;45;0;46;0028-646X;;WOS:000186322000006;
